"","fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"11","LQH","2","fc.LQH_rm.2",0.949329060684959,0.963,0.0220358274074233,0.024303469202695,0.939600528459141,0.0294487065512846,0.7994,0.103574128043638,0.123391812865497,0.0984048340063677,0.0111111111111111,0.0351364184463153,2835.98255563447,27.6129814967476,9.30770745133036e-07,48
"12","LQHP","2","fc.LQHP_rm.2",0.950612479092351,0.966,0.021340063207383,0.0258443916841886,0.940017076538733,0.0297994653662649,0.8101,0.06895642746611,0.11812865497076,0.091245978815677,0.0111111111111111,0.0351364184463153,2876.81054801556,68.4409738778395,1.26810970263037e-15,61
"13","L","5","fc.L_rm.5",0.934002197671334,0.985,0.0224827052223326,0.0258565230636196,0.929151909164058,0.0318114714554146,0.8241,0.0733839976501084,0.112865497076023,0.0634232626886023,0.0166666666666667,0.052704627669473,2842.92238990566,34.5528157679332,2.89652219012225e-08,15
"14","LQ","5","fc.LQ_rm.5",0.939507201974656,0.977,0.0215601352479148,0.0246414000583192,0.934799947997372,0.0304333765259566,0.8112,0.0757683604444787,0.118421052631579,0.0661799831735753,0.0111111111111111,0.0351364184463153,2821.62450540858,13.2549312708529,0.00122082585017581,17
"15","LQH","5","fc.LQH_rm.5",0.945551339442787,0.972,0.0213379723254299,0.0244507138747479,0.938057403171458,0.0296144976894128,0.8096,0.130404669309721,0.123684210526316,0.0886677124163689,0.0111111111111111,0.0351364184463153,2824.79488136625,16.425307228526,0.000250158534843058,32
"16","LQHP","5","fc.LQHP_rm.5",0.946155969708944,0.967,0.0211012485203908,0.0242807505038505,0.938430674289034,0.0291868985307343,0.8092,0.0967480117510318,0.123684210526316,0.0886677124163689,0.0111111111111111,0.0351364184463153,2822.78966608162,14.4200919438968,0.000681776913868258,33
"17","L","6","fc.L_rm.6",0.933978380543572,0.984,0.0229765876230468,0.0255139115979817,0.929127342607135,0.0319556059159251,0.8377,0.0682593908883199,0.112865497076023,0.0634232626886023,0.0166666666666667,0.052704627669473,2847.5183587898,39.1487846520808,2.90987877854334e-09,15
"18","LQ","6","fc.LQ_rm.6",0.939191625031801,0.982,0.0219871152237674,0.0244761424283815,0.934196208024568,0.030642454677437,0.8083,0.081857667800749,0.112865497076023,0.0583689663030896,0.0111111111111111,0.0351364184463153,2825.46071913176,17.0911449940345,0.000179320727002693,16
"19","LQH","6","fc.LQH_rm.6",0.944503927119589,0.963,0.0210725994121367,0.0245149447395076,0.937694687767553,0.0294715377403986,0.8281,0.129068844678593,0.118421052631579,0.0879707247929483,0.0111111111111111,0.0351364184463153,2817.2059095399,8.8363354021767,0.0111208918778138,25
"20","LQHP","6","fc.LQHP_rm.6",0.945065253517086,0.972,0.0209282456360646,0.0241851319468747,0.937964641726487,0.0290976706517553,0.838,0.101837561287027,0.123684210526316,0.0886677124163689,0.0111111111111111,0.0351364184463153,2835.7118603139,27.3422861761774,1.06567178296356e-06,33
