"","value"
"393","CON_TRIP"
"394","MAN_BIRO"
"395","EPI_FLAV"
"396","MAL_GILL"
"397","PAR_INCI"
"398","SPH_GUAC"
"399","CAN_JAME"
"400","ELA_HORS"
"401","LAB_NUCH"
"402","MYR_BREV"
"403","ENC_CARY"
"404","BAT_SOPO"
"405","OGC_SPE."
"406","STY_LATE"
"407","MYR_SPE."
"408","CAL_LEUC"
"409","ELA_PROC"
"410","HYP_HARR"
"411","SPH_LEWI"
"412","ACN_SPE."
"413","MUR_RETI"
"414","ABU_TAUR"
"415","PRI_AQUI"
"416","BOL_BOQU"
"417","PRI_PECT"
"418","OPS_TAU_"
"419","APO_PHEN"
"420","HOA_SPE."
"421","ELA_XANT"
"422","CAR_PLUM"
"423","EMP_SPE."
"424","RYP_BIST"
"425","GOB_DILE"
"426","OPI_SPE."
"427","DER_INER"
"428","PRI_RUBI"
"429","ENT_NIGR"
"430","SAR_AURI"
"431","AST_PUNC"
"432","SER_PHOE"
"433","BAL_SPE."
"434","ORT_CHRY"
"435","ENN_BOEH"
"436","BOT_LUNA"
"437","ACE_DEND"
"438","EUC_GULA"
"439","CAR_FALC"
"440","GYM_SPE."
"441","PAR_FURC"
"442","SYG_SPE."
"443","ALE_CILI"
"444","SYA_SPE."
"445","LAB_FILA"
"446","AST_Y-GR"
"447","ENC_NIGR"
"448","ALU_MONO"
"449","ACA_SPIN"
"450","APO_LACH"
"451","ELA_MULT"
"452","CHA_SPE."
"453","CAR_OBSC"
"454","TRA_LATH"
"455","PRO_AYA_"
"456","CHR_ATHE"
"457","SCI_SPE."
"458","ELA_SAUC"
"459","HYP_ABER"
"460","AHL_EGMO"
"461","XAN_RING"
"462","LAB_BUCC"
"463","UMB_CORO"
"464","LUT_CAMP"
"465","BRO_BARB"
"466","CTE_STIG"
"467","ACA_CHAP"
"468","EPI_NIVE"
"469","OLI_SAUR"
"470","LAC_SPE."
"471","HYP_CHLO"
"472","DAC_VOLI"
"473","CAR_LUGU"
"474","SEL_CRUM"
"475","NAR_BANC"
"476","KYP_VAIG"
