LIFE_STAGE,SPECIES_CODE,SOURCE,x,y,PRES,PRES2
SUBADULT,SCA_COER,MVS,566325.4632220317,2818410.78155717,0,ABSENCE
SUBADULT,SCA_COER,MVS,566326.4344061748,2818214.7709845384,0,ABSENCE
SUBADULT,SCA_COER,MVS,566327.4267405366,2819028.7384059527,0,ABSENCE
SUBADULT,SCA_COER,MVS,566328.4612416439,2818211.458732577,0,ABSENCE
SUBADULT,SCA_COER,MVS,566330.0741299257,2817074.1354565737,0,ABSENCE
SUBADULT,SCA_COER,MVS,566331.062949209,2817077.4626434017,0,ABSENCE
SUBADULT,SCA_COER,MVS,566331.5581366324,2819411.930635625,0,ABSENCE
SUBADULT,SCA_COER,MVS,566333.0351014651,2817085.224420065,0,ABSENCE
SUBADULT,SCA_COER,MVS,566334.1391005712,2817065.2961503617,0,ABSENCE
SUBADULT,SCA_COER,MVS,566336.1222230517,2817070.8431219566,0,ABSENCE
SUBADULT,SCA_COER,MVS,566336.1441629818,2817066.413511166,0,ABSENCE
SUBADULT,SCA_COER,MVS,566336.3685782043,2819049.8239462767,0,ABSENCE
SUBADULT,SCA_COER,MVS,566336.5568460298,2820430.7944997116,0,ABSENCE
SUBADULT,SCA_COER,MVS,566337.4834926083,2819027.6808214774,0,ABSENCE
SUBADULT,SCA_COER,MVS,566338.0888883267,2817079.71230206,0,ABSENCE
SUBADULT,SCA_COER,MVS,566339.482766043,2819029.9055972598,0,ABSENCE
SUBADULT,SCA_COER,MVS,566339.6090271409,2819004.435274522,0,ABSENCE
SUBADULT,SCA_COER,MVS,566340.531809919,2819021.051337123,0,ABSENCE
SUBADULT,SCA_COER,MVS,566342.4761850492,2819034.3501668945,0,ABSENCE
SUBADULT,SCA_COER,MVS,566342.5475534978,2819019.9538972913,0,ABSENCE
SUBADULT,SCA_COER,MVS,566358.541445849,2818835.0919729713,0,ABSENCE
SUBADULT,SCA_COER,MVS,566363.4573258242,2818857.264995329,0,ABSENCE
SUBADULT,SCA_COER,MVS,566366.4782348912,2818856.172542913,0,ABSENCE
SUBADULT,SCA_COER,MVS,566368.5599047123,2818841.7862448366,0,ABSENCE
SUBADULT,SCA_COER,MVS,566369.5815201852,2818838.4690139475,0,ABSENCE
SUBADULT,SCA_COER,MVS,566372.5475144107,2818848.450614305,0,ABSENCE
SUBADULT,SCA_COER,MVS,566374.8214142352,2818795.305138225,0,ABSENCE
SUBADULT,SCA_COER,MVS,566378.6058159578,2818842.9434986785,0,ABSENCE
SUBADULT,SCA_COER,MVS,566394.1023187535,2820176.3701167614,0,ABSENCE
SUBADULT,SCA_COER,MVS,566395.0908684926,2820179.69732636,0,ABSENCE
SUBADULT,SCA_COER,MVS,566395.1073589026,2820176.375105409,0,ABSENCE
SUBADULT,SCA_COER,MVS,566399.9172795631,2818599.414114347,0,ABSENCE
SUBADULT,SCA_COER,MVS,566400.8235501965,2818619.3523885086,0,ABSENCE
SUBADULT,SCA_COER,MVS,566402.1261478228,2820179.7322490374,0,ABSENCE
SUBADULT,SCA_COER,MVS,566402.1756242412,2820169.765586134,0,ABSENCE
SUBADULT,SCA_COER,MVS,566402.9327554223,2818599.4290740266,0,ABSENCE
SUBADULT,SCA_COER,MVS,566403.0762129104,2820190.811308342,0,ABSENCE
SUBADULT,SCA_COER,MVS,566404.8441786948,2818619.372335303,0,ABSENCE
SUBADULT,SCA_COER,MVS,566405.207239073,2820166.4583331365,0,ABSENCE
SUBADULT,SCA_COER,MVS,566406.9314128736,2818603.8786408002,0,ABSENCE
SUBADULT,SCA_COER,MVS,566407.9640428886,2818598.3466034704,0,ABSENCE
SUBADULT,SCA_COER,MVS,566408.9032683901,2818611.6404490722,0,ABSENCE
SUBADULT,SCA_COER,MVS,566411.1443557732,2818565.139419524,0,ABSENCE
SUBADULT,SCA_COER,MVS,566416.5001563594,2817080.1009170148,0,ABSENCE
SUBADULT,SCA_COER,MVS,566418.3332565648,2820154.341725164,0,ABSENCE
SUBADULT,SCA_COER,MVS,566468.6716364911,2819732.6593723446,0,ABSENCE
SUBADULT,SCA_COER,MVS,566475.7236592188,2819729.3721090825,0,ABSENCE
SUBADULT,SCA_COER,MVS,566479.787977095,2819720.532833789,0,ABSENCE
SUBADULT,SCA_COER,MVS,566480.738022786,2819731.611893048,0,ABSENCE
SUBADULT,SCA_COER,MVS,566483.7917658759,2819723.8750310503,0,ABSENCE
SUBADULT,SCA_COER,MVS,566488.8391515304,2819719.4703790136,0,ABSENCE
SUBADULT,SCA_COER,MVS,566499.9610258662,2819706.2364502773,0,ABSENCE
SUBADULT,SCA_COER,MVS,566509.9677402319,2819715.145664031,0,ABSENCE
SUBADULT,SCA_COER,MVS,566539.8366313427,2820984.414496119,0,ABSENCE
SUBADULT,SCA_COER,MVS,566541.8410799147,2820985.5319063407,0,ABSENCE
SUBADULT,SCA_COER,MVS,566544.8835736997,2820980.009868414,0,ABSENCE
SUBADULT,SCA_COER,MVS,566549.880916632,2820985.57191714,0,ABSENCE
SUBADULT,SCA_COER,MVS,566553.9339055384,2820978.9474745877,0,ABSENCE
SUBADULT,SCA_COER,MVS,566555.9273299885,2820982.279703514,0,ABSENCE
SUBADULT,SCA_COER,MVS,566556.015520443,2820964.5611709557,0,ABSENCE
SUBADULT,SCA_COER,MVS,566557.8931929417,2820991.148974312,0,ABSENCE
SUBADULT,SCA_COER,MVS,566585.3517724263,2816683.371894768,0,ABSENCE
SUBADULT,SCA_COER,MVS,566587.3073289453,2816694.4559146953,0,ABSENCE
SUBADULT,SCA_COER,MVS,566587.3348534853,2816688.918901993,0,ABSENCE
SUBADULT,SCA_COER,MVS,566589.3234379173,2816693.3585070395,0,ABSENCE
SUBADULT,SCA_COER,MVS,566590.3672760205,2816685.611686804,0,ABSENCE
SUBADULT,SCA_COER,MVS,566592.3668706216,2816687.8364872052,0,ABSENCE
SUBADULT,SCA_COER,MVS,566592.3833865621,2816684.514279586,0,ABSENCE
SUBADULT,SCA_COER,MVS,566597.398888618,2816686.7540742923,0,ABSENCE
