SOURCE,ID_SURV,ID_SITE,x,y,PRES_COEL,PRES_COER,PRES_GUAC,PRES_HERB,PRES_GRIS,PRES_SCIU,PRES_INVERT
RVC,1233U_1_2014,1233U_1,552796.200164652,2763802.7684138096,0,0,0,0,1,0,1
RVC,1236U_1_2014,1236U_1,507171.15420455474,2732929.7328722375,0,0,0,0,1,1,1
RVC,1239U_2_2014,1239U_2,546340.4444373053,2755661.6678023376,0,0,0,0,1,0,1
RVC,1239U_1_2014,1239U_1,546336.3230130922,2755686.014691519,0,0,0,0,1,0,1
RVC,1242U_2_2014,1242U_2,539422.838293841,2749100.3858563215,0,0,0,0,1,1,1
RVC,1246U_2_2014,1246U_2,504886.6082325722,2729171.8712720606,0,0,1,1,1,0,1
RVC,1246U_1_2014,1246U_1,504871.4398094108,2729150.8284143424,0,0,0,0,1,0,1
RVC,1250U_2_2014,1250U_2,473265.338935659,2720298.939235224,0,0,0,0,1,1,1
RVC,1250U_1_2014,1250U_1,473262.2720708381,2720283.4437887236,0,0,0,0,1,0,1
RVC,1252U_1_2014,1252U_1,479127.09282444144,2721040.7384510785,0,0,0,0,1,1,1
RVC,1252U_2_2014,1252U_2,479189.8647540551,2721046.1807148037,0,0,0,0,1,1,1
RVC,1257U_2_2014,1257U_2,534340.5896063368,2745247.829227478,0,0,0,0,1,0,1
RVC,1261U_1_2014,1261U_1,474383.7542844229,2719054.5196156427,0,0,0,0,1,0,1
RVC,1277U_2_2014,1277U_2,513155.582700402,2732188.9442423964,0,0,0,0,1,1,1
RVC,1277U_1_2014,1277U_1,513141.43636001303,2732173.4294022517,0,0,0,0,1,0,1
RVC,1281U_2_2014,1281U_2,521518.4702479942,2735599.7702825572,0,0,0,0,1,1,1
RVC,1281U_1_2014,1281U_1,521529.5475922952,2735629.6833629175,0,0,0,0,1,1,1
RVC,1303U_2_2014,1303U_2,538556.3949599516,2748240.8912835587,0,0,1,1,1,0,1
RVC,1321U_1_2014,1321U_1,488905.10503212607,2723642.584664445,0,1,0,1,1,1,1
RVC,1321U_2_2014,1321U_2,488917.2355304582,2723623.752044937,0,0,1,1,1,1,1
RVC,1330U_1_2014,1330U_1,403914.0166586058,2707300.6172282845,1,1,1,1,1,1,1
RVC,1331U_2_2014,1331U_2,404468.00055596314,2707541.5557818166,0,0,1,1,1,0,1
RVC,1332U_2_2014,1332U_2,403961.977490119,2707496.291287306,0,0,0,0,1,1,1
RVC,1332U_1_2014,1332U_1,403954.13588752685,2707535.102671424,0,0,0,0,1,0,1
RVC,1334U_1_2014,1334U_1,426169.2031627251,2710784.3430109276,0,0,0,0,1,0,1
RVC,1339U_1_2014,1339U_1,442058.54323859856,2714053.4791990444,0,0,0,0,1,1,1
RVC,1339U_2_2014,1339U_2,442043.3916623992,2714063.5074972394,1,0,1,1,1,1,1
RVC,1340U_2_2014,1340U_2,437537.7494637534,2714213.5825888994,0,0,0,0,1,1,1
RVC,1343U_2_2014,1343U_2,441554.8495507343,2715193.8555661347,0,0,0,0,1,0,1
RVC,1348U_1_2014,1348U_1,455076.1194447653,2718214.232899325,0,0,0,0,1,1,1
RVC,1350U_2_2014,1350U_2,459631.4220187028,2719908.793764612,0,0,1,1,1,1,1
RVC,1354U_2_2014,1354U_2,433468.38552996964,2709824.2545856507,0,0,0,0,1,1,1
RVC,1354U_1_2014,1354U_1,433479.4989426334,2709817.55805511,0,0,0,0,1,1,1
RVC,1355U_1_2014,1355U_1,431915.18191416835,2710665.512190706,0,0,1,1,1,1,1
RVC,1355U_2_2014,1355U_2,431929.43565288605,2710679.8376056403,0,0,0,0,1,1,1
RVC,1362U_1_2014,1362U_1,461582.6648151473,2715975.872844508,0,0,0,0,1,1,1
RVC,1362U_2_2014,1362U_2,461558.3478716158,2715971.5108016143,0,0,0,0,1,1,1
RVC,1364U_2_2014,1364U_2,437317.06051745755,2709946.006964513,0,0,0,0,1,1,1
RVC,1364U_1_2014,1364U_1,437340.37819452223,2709949.2243862343,0,0,0,0,1,1,1
RVC,1365U_2_2014,1365U_2,437701.49864849244,2710045.0526755485,0,0,0,0,1,0,1
RVC,1365U_1_2014,1365U_1,437701.49864849244,2710045.0526755485,0,0,0,0,1,1,1
RVC,1366U_2_2014,1366U_2,436762.7711873149,2710153.3468299485,1,0,0,1,1,1,1
RVC,1366U_1_2014,1366U_1,436792.05756079557,2710132.176240159,0,0,0,0,1,1,1
RVC,1370U_2_2014,1370U_2,447450.1863093773,2712199.6423531664,0,0,0,0,1,0,1
RVC,1371U_1_2014,1371U_1,447241.4774047822,2712191.570171263,0,0,0,0,1,1,1
RVC,1373U_1_2014,1373U_1,450876.3222798638,2713113.959343907,0,0,1,1,1,1,1
RVC,1373U_2_2014,1373U_2,450925.994088977,2713124.8574262685,0,0,0,0,1,1,1
RVC,1374U_2_2014,1374U_2,464201.9361501498,2716139.426112069,0,0,0,0,1,0,1
RVC,1374U_1_2014,1374U_1,464179.6684764145,2716143.9121986437,0,0,0,0,1,1,1
RVC,1392U_2_2014,1392U_2,440545.00529825414,2710410.2638020157,0,0,0,0,1,1,1
RVC,1392U_1_2014,1392U_1,440531.78288795345,2710398.1400035475,0,0,0,0,1,1,1
RVC,1414U_1_2014,1414U_1,459149.7056732899,2714788.0602068105,1,0,1,1,1,1,1
RVC,1415U_2_2014,1415U_2,459301.6462069332,2714795.367391605,0,0,0,0,1,1,1
RVC,1415U_1_2014,1415U_1,459322.8824618171,2714784.233070641,1,1,0,1,1,1,1
RVC,1419U_1_2014,1419U_1,461036.166927526,2717194.2509472813,0,0,0,0,1,0,1
RVC,1419U_2_2014,1419U_2,461074.59977501974,2717177.5349786286,0,0,0,0,1,1,1
RVC,1421U_1_2014,1421U_1,460397.09911826265,2722501.9986118935,0,0,0,0,1,1,1
RVC,1423U_1_2014,1423U_1,433123.91582580935,2708979.9302275814,1,0,0,1,1,1,1
RVC,1423U_2_2014,1423U_2,433116.8654424275,2708988.8221809207,0,0,0,0,1,0,1
RVC,1427U_2_2014,1427U_2,432856.048166285,2708903.7022025124,1,0,0,1,1,0,1
RVC,1427U_1_2014,1427U_1,432865.2204874018,2708914.731074739,0,0,0,0,1,1,1
RVC,1430U_2_2014,1430U_2,429418.9890315469,2715521.205121037,0,0,0,0,1,1,1
RVC,1433U_2_2014,1433U_2,426951.6465031582,2710840.0303788683,0,0,1,1,1,0,1
RVC,1433U_1_2014,1433U_1,426975.89199435036,2710826.6161984378,0,0,0,0,1,0,1
RVC,1436U_1_2014,1436U_1,427081.1609342451,2708862.8246995597,0,0,0,0,1,1,1
RVC,1436U_2_2014,1436U_2,427045.65063847415,2708854.1512739123,0,0,0,0,1,1,1
RVC,1441U_2_2014,1441U_2,428915.8463153247,2708389.434804297,0,0,0,0,1,1,1
RVC,1441U_1_2014,1441U_1,428915.80697653675,2708381.683949725,0,0,0,0,1,1,1
RVC,1448U_1_2014,1448U_1,414546.1372248985,2705801.0769693214,0,0,1,1,1,1,1
RVC,1450U_1_2014,1450U_1,412908.5085098608,2704864.3854585197,0,0,0,0,1,1,1
RVC,1451U_1_2014,1451U_1,412902.55767589057,2704885.461687206,1,0,0,1,1,0,1
RVC,1451U_2_2014,1451U_2,412906.7701208128,2704910.904130921,0,1,1,1,1,1,1
RVC,1454U_1_2014,1454U_1,411611.9323300649,2704678.712467793,0,1,0,1,1,1,1
RVC,1649U_1_2014,1649U_1,504380.8441670875,2728867.21202322,0,0,0,0,1,1,1
RVC,1649U_2_2014,1649U_2,504413.163971497,2729043.2730901698,0,0,0,0,1,1,1
RVC,1691U_1_2014,1691U_1,488699.5593311188,2723538.670192017,0,0,1,1,1,1,1
RVC,1704U_2_2014,1704U_2,442831.36958397547,2715538.4701811275,0,0,0,0,1,1,1
RVC,1704U_1_2014,1704U_1,442844.530827609,2715537.3090303172,0,0,0,0,1,1,1
RVC,1742U_1_2014,1742U_1,458917.6245077582,2714736.70028943,1,1,0,1,1,1,1
RVC,1007U_1_2016,1007U_1,581464.2918981503,2813902.800332041,0,0,0,0,1,0,1
RVC,1007U_2_2016,1007U_2,581435.2724957821,2813879.3673624066,0,0,0,0,1,0,1
RVC,1008U_1_2016,1008U_1,583427.3521416641,2814683.452291383,1,0,0,1,1,1,1
RVC,1008U_2_2016,1008U_2,583397.2496172827,2814673.297774223,0,0,0,0,1,1,1
RVC,1009U_2_2016,1009U_2,583149.2332034337,2817533.461113677,0,0,1,1,1,1,1
RVC,1009U_1_2016,1009U_1,583153.3918184789,2817511.337486622,1,1,1,1,1,0,1
RVC,1012U_1_2016,1012U_1,578289.4083855042,2799607.822037287,0,1,0,1,1,1,1
RVC,1012U_2_2016,1012U_2,578296.4674541351,2799605.648141051,0,0,1,1,1,1,1
RVC,1013U_2_2016,1013U_2,580735.2886393744,2799818.2570486153,0,0,0,0,1,0,1
RVC,1019U_2_2016,1019U_2,582957.8109164438,2805883.9679677524,0,0,0,0,1,0,1
RVC,1020U_2_2016,1020U_2,581825.8749314372,2805881.4660146935,0,0,0,0,1,1,1
RVC,1020U_1_2016,1020U_1,581822.7487545627,2805899.1662476095,0,0,0,0,1,1,1
RVC,1023U_1_2016,1023U_1,585391.727880202,2816485.501965195,1,1,0,1,1,0,1
RVC,1025U_1_2016,1025U_1,586874.5465367241,2816507.21804695,0,0,0,0,1,1,1
RVC,1025U_2_2016,1025U_2,586872.607641472,2816496.1306568384,1,0,0,1,1,1,1
RVC,1026U_2_2016,1026U_2,584842.5481798062,2816681.358340841,0,0,0,0,1,1,1
RVC,1027U_1_2016,1027U_1,584686.4715884875,2817991.622957451,0,0,0,0,1,1,1
RVC,1027U_2_2016,1027U_2,584711.6025531114,2817991.7819438223,0,0,0,0,1,1,1
RVC,1028U_2_2016,1028U_2,585935.549405382,2818380.5556832203,0,0,0,0,1,0,1
RVC,1028U_1_2016,1028U_1,585892.6024148737,2818337.0882715695,0,0,0,0,1,0,1
RVC,1029U_1_2016,1029U_1,585656.7536204089,2819062.0847295844,0,0,0,0,1,1,1
RVC,1030U_1_2016,1030U_1,586750.9791922349,2819595.1886713314,0,0,0,0,1,1,1
RVC,1030U_2_2016,1030U_2,586767.9872753819,2819607.4813008523,0,0,0,0,1,1,1
RVC,1032U_1_2016,1032U_1,587409.4170869547,2826499.151004981,0,0,0,0,1,1,1
RVC,1036U_2_2016,1036U_2,585051.6459987422,2807321.2384208106,0,0,0,0,1,1,1
RVC,1036U_1_2016,1036U_1,585066.8136504154,2807309.152265552,0,0,0,0,1,1,1
RVC,1038U_2_2016,1038U_2,584813.6899360878,2807403.9026109097,0,0,0,0,1,1,1
RVC,1038U_1_2016,1038U_1,584821.7381957037,2807403.9533793535,0,0,0,0,1,1,1
RVC,1042U_2_2016,1042U_2,584663.5501922334,2808399.673549146,1,0,0,1,1,0,1
RVC,1042U_1_2016,1042U_1,584668.7404311124,2808374.234568035,0,0,0,0,1,0,1
RVC,1044U_2_2016,1044U_2,585606.5223502028,2809765.61695063,0,0,0,0,1,1,1
RVC,1044U_1_2016,1044U_1,585617.6503054181,2809755.7206523577,0,0,0,0,1,1,1
RVC,1045U_2_2016,1045U_2,586350.373157836,2809845.6859644605,0,0,0,0,1,0,1
RVC,1047U_1_2016,1047U_1,585183.9946991906,2810883.688840117,1,0,0,1,1,1,1
RVC,1047U_2_2016,1047U_2,585166.9106120918,2810881.365527993,0,0,0,0,1,1,1
RVC,1048U_2_2016,1048U_2,584837.1164078309,2811341.092039608,0,0,0,0,1,0,1
RVC,1048U_1_2016,1048U_1,584835.0839376455,2811344.4016016047,0,0,0,0,1,1,1
RVC,1051U_1_2016,1051U_1,584403.5663917472,2812949.726009061,0,0,0,0,1,1,1
RVC,1051U_2_2016,1051U_2,584410.7032544168,2812934.26633553,0,0,0,0,1,1,1
RVC,1056U_2_2016,1056U_2,584437.1813867227,2801184.2644343376,0,0,0,0,1,0,1
